body_symptom_id,disease_id
1,71
1,87
1,93
1,118
1,119
1,122
1,367
1,376
1,492
1,577
1,645
1,646
1,665
1,668
1,677
1,680
1,689
1,705
1,1028
1,1035
1,1087
1,1100
1,1111
1,1113
1,1116
1,1121
1,1139
3,20
3,23
3,42
3,43
3,45
3,47
3,48
3,50
3,52
3,83
3,84
3,88
3,93
3,116
3,121
3,146
3,157
3,159
3,168
3,169
3,173
3,181
3,227
3,228
3,230
3,252
3,255
3,261
3,263
3,272
3,302
3,322
3,536
3,545
3,578
3,648
3,689
3,774
3,775
3,780
3,786
3,793
3,804
3,809
3,899
3,1035
3,1115
3,1140
6,20
6,23
6,42
6,43
6,45
6,47
6,48
6,50
6,52
6,83
6,84
6,88
6,93
6,116
6,121
6,146
6,157
6,159
6,168
6,169
6,173
6,181
6,227
6,228
6,230
6,252
6,255
6,261
6,263
6,272
6,302
6,322
6,536
6,545
6,578
6,648
6,689
6,774
6,775
6,780
6,786
6,793
6,804
6,809
6,899
6,1035
6,1115
6,1140
8,4
8,5
8,7
8,115
9,4
9,5
9,7
9,115
9,559
12,146
12,162
12,339
12,648
12,676
12,1111
13,10
13,20
13,34
13,45
13,47
13,50
13,52
13,83
13,84
13,88
13,93
13,117
13,121
13,143
13,146
13,157
13,159
13,166
13,168
13,169
13,171
13,173
13,175
13,181
13,189
13,212
13,227
13,228
13,252
13,255
13,261
13,272
13,302
13,322
13,475
13,492
13,536
13,577
13,578
13,648
13,661
13,689
13,768
13,774
13,780
13,786
13,790
13,793
13,804
13,809
13,899
13,1035
13,1089
13,1140
15,10
15,23
15,119
15,157
15,162
15,164
15,165
15,309
15,412
15,577
15,680
15,947
15,949
15,952
15,1028
15,1087
15,1100
15,1113
16,34
16,35
16,39
16,45
16,48
16,49
16,52
16,75
16,97
16,117
16,126
16,132
16,150
16,162
16,165
16,255
16,256
16,261
16,272
16,283
16,291
16,298
16,302
16,306
16,330
16,339
16,352
16,405
16,475
16,775
16,787
16,875
16,1132
16,1140
17,10
17,163
17,164
17,302
18,45
18,156
18,165
18,261
18,330
18,405
19,35
19,39
19,49
19,90
19,91
19,93
19,116
19,126
19,131
19,143
19,156
19,159
19,169
19,173
19,181
19,214
19,227
19,228
19,235
19,255
19,261
19,263
19,272
19,291
19,298
19,302
19,352
19,475
19,488
19,661
19,702
19,774
19,780
19,786
19,813
19,875
19,1124
22,11
22,25
22,47
22,91
22,115
22,116
22,117
22,146
22,159
22,167
22,168
22,170
22,175
22,177
22,181
22,194
22,218
22,235
22,236
22,246
22,255
22,536
22,710
22,824
22,907
22,915
22,947
22,949
22,1087
22,1128
22,1138
23,34
23,42
23,47
23,117
23,156
23,163
23,164
23,168
23,227
23,228
23,261
23,475
23,787
23,790
23,793
23,998
23,1112
24,34
24,39
24,44
24,45
24,48
24,97
24,168
24,169
24,170
24,171
24,173
24,255
24,261
24,330
24,775
24,780
24,786
24,787
24,793
24,809
24,1115
25,49
25,77
25,162
25,330
25,405
25,499
25,545
25,547
25,689
25,1087
26,477
26,499
26,505
26,524
26,556
26,1116
29,76
29,77
29,119
29,163
29,477
29,524
29,556
29,1116
30,34
30,49
30,83
30,117
30,155
30,156
30,162
30,330
30,405
30,488
30,499
30,774
30,1035
30,1111
30,1116
31,31
31,78
31,87
31,488
31,793
31,1101
31,1116
32,477
32,505
32,524
32,556
32,1116
33,76
33,77
33,119
33,163
33,477
33,524
33,556
33,1116
34,155
34,156
34,162
34,330
34,405
34,488
34,1035
34,1111
34,1116
35,10
35,150
35,155
35,156
35,492
35,499
35,731
35,1116
36,10
36,31
36,93
36,117
36,150
36,155
36,156
36,159
36,167
36,214
36,492
36,499
36,677
36,731
36,1116
36,1128
39,49
39,89
39,92
39,96
39,132
39,136
39,140
39,143
39,150
39,188
39,223
39,234
39,252
39,339
39,702
41,132
41,140
41,252
42,89
42,92
42,96
42,136
42,140
42,150
42,188
42,234
42,235
42,252
42,330
42,339
42,352
42,399
42,702
44,11
44,132
44,150
44,188
44,223
44,252
44,399
44,977
45,11
45,132
45,136
45,150
45,223
45,252
45,352
45,399
45,702
45,977
47,132
47,136
47,234
47,252
47,399
48,63
48,132
48,136
48,150
48,202
48,234
48,252
48,352
48,399
48,702
50,132
50,252
52,92
52,702
53,92
53,702
56,702
58,132
58,252
59,702
60,34
60,42
60,78
60,91
60,115
60,122
60,126
60,131
60,146
60,159
60,162
60,168
60,246
60,255
60,291
60,339
60,405
60,412
60,492
60,499
60,545
60,648
60,676
60,915
60,1089
60,1111
60,1128
61,48
61,87
61,166
61,259
61,446
61,536
61,545
61,569
61,573
61,1087
61,1113
62,49
62,75
62,89
62,117
62,131
62,132
62,150
62,155
62,156
62,228
62,252
62,272
62,291
62,298
62,302
62,339
62,352
62,367
62,405
62,499
62,505
62,545
62,774
62,793
62,1035
62,1111
62,1116
62,1121
62,1139
63,10
63,23
63,88
63,146
63,181
63,187
63,212
63,252
63,322
63,457
63,525
63,536
63,578
63,661
63,689
63,1087
63,1094
64,10
64,20
64,23
64,48
64,949
64,1035
65,10
65,126
65,127
65,157
65,309
65,676
65,677
65,684
65,699
65,878
65,907
65,949
67,10
67,49
67,72
67,124
67,125
67,157
67,309
67,664
67,676
67,677
67,684
67,699
67,949
69,127
69,131
69,676
69,677
69,873
69,878
69,885
69,907
69,918
74,124
74,125
74,127
74,677
74,878
75,10
75,72
75,126
75,157
75,163
75,309
75,676
75,677
75,684
75,699
75,926
75,949
76,10
76,72
76,124
76,125
76,157
76,676
76,677
76,684
76,699
76,949
79,676
79,677
80,127
80,131
80,873
80,878
80,885
80,888
80,907
80,918
80,921
81,126
81,127
81,130
81,878
81,888
82,10
82,126
82,127
82,130
82,163
82,878
85,126
85,127
85,878
85,888
85,907
87,126
87,127
87,873
87,878
89,878
91,127
91,878
91,888
91,921
95,126
