disease_id,symptom_id
4,5
4,8
4,52
4,56
4,68
4,134
4,186
5,4
5,5
5,188
5,190
5,192
5,194
6,148
6,150
6,196
7,5
7,198
7,200
7,202
8,44
8,206
8,208
8,210
8,212
8,214
8,216
8,218
8,220
8,222
8,224
10,16
10,18
10,22
10,38
10,44
10,52
10,220
10,268
10,554
10,816
10,898
10,1619
11,32
11,128
11,226
11,228
11,230
11,232
11,234
11,238
13,240
13,242
14,244
14,246
14,248
14,250
15,18
15,42
15,64
15,78
15,248
15,252
15,254
15,256
15,258
17,260
17,262
20,3
20,14
20,16
20,18
20,22
20,54
20,220
20,264
21,248
21,260
21,266
21,268
21,270
23,52
23,220
23,272
24,90
24,244
24,270
24,274
24,276
25,12
25,50
25,126
25,224
25,244
25,278
25,280
25,282
25,284
27,76
27,132
27,286
27,288
30,168
31,142
31,164
31,166
31,290
32,142
32,148
32,292
32,294
33,170
33,172
34,3
34,8
34,12
34,16
34,20
34,28
34,30
34,40
34,224
34,298
34,300
34,302
34,304
34,306
34,308
34,310
34,312
34,314
34,316
34,318
34,320
35,16
35,30
35,272
35,310
35,312
35,316
35,318
39,26
39,30
39,316
39,318
39,322
41,174
41,324
41,326
41,328
42,3
42,12
42,28
42,174
42,272
42,310
42,318
42,322
42,324
42,330
42,332
42,334
42,336
42,338
42,340
43,3
43,272
43,308
43,336
44,20
44,30
44,224
44,316
44,318
44,342
44,344
45,3
45,16
45,56
45,148
45,174
45,264
45,318
45,322
45,348
45,350
45,352
45,354
46,32
46,68
46,148
46,174
46,236
46,272
46,324
46,326
46,328
46,330
46,358
47,3
47,16
47,28
47,32
47,74
47,128
47,174
47,304
47,310
47,318
47,322
47,324
47,326
47,328
47,330
47,334
47,338
47,340
47,360
47,362
47,366
47,368
48,3
48,20
48,30
48,48
48,50
48,54
48,318
48,370
48,372
48,374
49,20
49,26
49,50
49,54
49,112
49,148
49,174
49,184
49,322
49,324
49,326
49,328
49,330
49,376
49,378
49,380
49,382
49,384
49,386
49,388
49,390
50,3
50,16
50,302
50,310
50,392
50,394
50,396
50,398
52,3
52,12
52,16
52,20
52,28
52,40
52,44
52,50
52,256
52,264
52,272
52,312
52,400
52,402
52,406
52,408
53,410
54,412
54,414
54,416
56,418
56,420
56,422
56,424
56,426
56,428
56,430
56,432
56,434
57,18
57,48
57,50
57,256
57,434
57,436
59,438
60,32
60,128
60,280
60,282
60,440
60,442
60,444
60,446
61,32
61,236
61,270
61,274
61,280
61,412
61,414
61,420
61,422
61,426
61,442
61,448
62,270
62,450
63,126
63,274
63,280
63,428
63,452
63,454
63,456
63,458
63,460
63,462
65,464
65,466
65,472
68,474
68,476
68,478
68,480
68,482
69,474
69,484
69,486
69,488
71,220
71,282
71,474
71,476
71,478
71,490
71,492
71,494
71,496
71,498
71,500
72,502
72,504
72,506
72,508
73,510
73,512
73,514
73,532
75,516
75,518
76,38
76,64
76,80
76,84
76,86
76,88
76,96
76,114
76,520
76,522
76,526
76,528
76,530
77,12
77,34
77,42
77,44
77,50
77,86
77,114
77,302
77,350
77,528
77,532
77,534
77,536
77,538
77,540
83,3
83,14
83,16
83,40
83,220
83,528
83,542
83,544
83,546
83,548
87,14
87,34
87,42
87,48
87,50
87,420
87,478
87,526
87,552
87,554
87,556
87,558
87,560
87,562
87,564
87,566
87,568
88,52
88,528
88,530
88,540
88,544
88,546
88,550
89,208
89,212
89,220
89,570
89,572
89,574
90,44
90,50
90,102
90,126
90,208
90,212
90,220
90,574
90,576
90,578
91,32
91,50
91,124
91,220
91,224
91,236
91,304
91,580
92,126
92,304
92,392
92,580
92,582
92,584
93,126
93,586
93,588
93,590
93,592
93,594
96,304
96,392
96,580
96,584
96,596
97,3
97,16
97,20
97,30
97,50
97,128
97,264
97,318
97,378
98,156
98,448
98,598
98,600
98,602
98,604
99,292
100,220
100,554
100,556
100,578
100,610
100,612
102,578
102,614
102,616
102,618
104,554
104,620
104,622
105,496
105,550
105,556
105,616
105,624
105,626
105,628
106,214
106,216
106,218
106,630
106,632
106,634
106,636
108,382
108,638
108,640
108,642
110,644
110,646
111,382
111,640
111,648
111,650
111,652
112,638
112,654
112,656
113,26
113,128
113,302
113,658
113,660
113,662
113,664
114,666
114,668
114,670
115,5
115,12
115,32
115,126
115,480
115,580
115,672
115,674
116,32
116,102
116,124
116,220
116,224
116,236
116,480
116,580
116,584
116,672
116,674
116,676
117,8
117,12
117,20
117,26
117,50
117,80
117,92
117,102
117,126
117,190
117,224
117,480
117,672
117,678
118,14
118,56
118,362
118,480
118,674
118,680
118,684
119,8
119,14
119,18
119,36
119,38
119,44
119,50
119,282
119,402
119,478
119,480
119,554
119,594
119,686
123,8
123,312
123,402
123,476
123,480
123,688
123,690
124,134
124,692
124,694
125,126
125,692
125,694
125,696
126,20
126,26
126,50
126,92
126,102
126,116
126,124
126,126
126,304
126,698
126,700
126,702
126,704
126,776
127,116
127,478
127,698
127,700
127,702
127,706
127,708
127,710
127,712
127,714
129,350
129,492
129,512
129,532
129,716
129,718
130,712
130,720
130,722
130,724
131,12
131,26
131,48
131,50
131,68
131,96
131,116
131,126
131,168
131,224
131,256
131,580
131,674
131,682
133,126
133,206
133,638
133,726
133,728
135,90
135,280
135,428
135,434
135,440
135,460
135,730
135,732
136,92
136,126
136,208
136,580
136,734
136,736
137,260
137,270
137,284
137,420
137,428
137,432
137,452
137,460
137,730
138,244
138,260
138,266
138,268
138,270
138,280
138,284
138,420
138,428
138,432
138,452
138,456
138,460
138,730
138,738
138,792
139,128
139,148
139,740
140,92
140,128
140,208
140,676
140,742
141,208
141,214
141,216
141,218
141,236
141,580
141,630
141,740
143,16
143,32
143,142
143,220
143,236
143,300
143,392
143,740
143,744
143,746
146,16
146,44
146,52
146,56
146,220
146,236
146,350
146,530
146,544
146,546
146,748
149,8
149,38
149,44
149,50
149,92
149,126
149,136
149,224
149,380
149,750
150,20
150,92
150,126
150,148
150,224
150,238
150,282
150,358
150,580
150,596
150,674
