id,"name","alias","seo_title","keywords","description","content","date_create","date_update",deleted,"case_parental","case_parental_plural","case_plural",top,popular,child,to_home,"child_doctor","to_home_doctor","name_local"
1,"Окулист (офтальмолог)","okulist",NULL,NULL,NULL,"<p><strong>Окулист</strong> или <strong>офтальмолог </strong>-
врач, занимающийся и специализирующийся на лечении врожденных и приобретенных
нарушений зрительной системы. Окулист проводит определение качества зрения, и
последующее лечение конъюнктивита, кератита, близорукости, катаракты, глаукомы
и других проблем со зрением.</p><p>Консультация врача данной специальности
необходима при покраснении глаз, рези и боли в глазах, слезотечении, появлении
слизистых или гнойных выделений, при ухудшении зрения, при появлении темных
пятен перед глазами, наличии сахарного диабета, а также при длительной
ежедневной работе с компьютером.</p><p>На нашем сайте вы можете
подобрать окулиста и врачей других специальностей из лучших и наиболее
подходящих вам клиник в Киеве и записаться на консультацию в максимально
комфортное и удобное время.</p>",NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL
2,"Терапевт","terapevt",NULL,NULL,NULL,"<p>Терапевт - лечит пациентов</p>",NULL,NULL,1,"терапевта","терапевтов","терапевты",NULL,1,1,1,NULL,NULL,NULL
3,"Акушер-гинеколог","akusher-ginekolog",NULL,NULL,NULL,"<p style=\"text-align: justify;\">Акушер-гинеколог &ndash; врач узкой специализации, занимающийся вопросами планирования и консультирования во время беременности, а также рождения ребёнка. Послеродовой период и возможные клинические ситуации также входят в сферу обязанностей врача. Этот специалист помогает решить проблемы с зачатием и вынашиванием плода, а также констатирует факт наступления беременности, проводит наблюдение женщины вплоть до момента завершения родов.</p>
<h3 style=\"text-align: justify;\">В компетенцию акушера-гинеколога входит:</h3>
<ul style=\"text-align: justify;\">
<li>Планирование и подготовка к материнству. Врач проводит оценку готовности организма, а также характерные особенности и риски.</li>
<li>Определение и наблюдение беременности. Специалист подтверждает успешное зачатие и устанавливает срок, а также устанавливает ориентировочную дату родов. В период гестации врач наблюдает за состоянием и изменениями, назначает необходимые лабораторные и инструментальные обследования.</li>
<li>Ведение процесса родов. В случае необходимости врач проводит хирургические манипуляции.</li>
<li>Помощь женщинам при выкидышах, профилактика преждевременных родов, лечение внематочной беременности.</li>
<li>Решение проблем с зачатием и необходимая терапия.</li>
<li>Лечение травм, полученных при родах, или повреждений, которые могут оказать влияние на процесс родов.</li>
<li>Наблюдение в послеродовой период за состоянием мамы и ребёнка.</li>
</ul>
<p style=\"text-align: justify;\">Врач акушер-гинеколог проводит прерывание беременности по медицинским показаниям или по желанию пациентки сроком до 12 недель.</p>
<h2 style=\"text-align: justify;\">Когда нужно идти на приём к акушеру-гинекологу?</h2>
<p style=\"text-align: justify;\">Посетить кабинет врача необходимо в ряде случаев:</p>
<ul style=\"text-align: justify;\">
<li>планирование и подозрение на беременность;</li>
<li>при нарушениях нормального течения беременности: боль внизу живота, выделения с кровью, спазмы;</li>
<li>ухудшение общего состояния при беременности: отёчность, головокружения, <a href=\"https://doc.ua/news/news/toksikoz-pri-beremennosti-kak-oblegchit\">токсикоз</a>;</li>
<li>лечение фоновых изменений организма: появление геморроидальных узлов, молочница, железодефицитная анемия;</li>
