comment,classes
бессонница головная боль рвота вспыльчивость повышенное потоотделение раздражительность агрессия тремор дрожание ломота в теле одышка учащенное дыхание,абстинентное состояние
повышение температуры до 3839с повышение температуры выше 39с гнойник и,абсцесс
насморк заложенность носа головная боль храп дыхание через рот гнусавость,аденоиды
частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании мочеиспускание каплями чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания мутность мочи моча с кровью утрудненное мочеиспускание,аденома простаты предстательной железы
полное или частичное отсутствие зубного ряда,адентия
головная боль повышение артериального давления повышенное потоотделение боль в суставах деформация сустава повышение уровня глюкозы в крови гипергликемия огрубление черт лица увеличение кистей рук увеличение стоп,акромегалия
снижение артериального давления слабость рвота тошнота повышенная усталость снижение массы тела желтушность желтушность склер мышечная слабость снижение полового влечения либидо сосудистые звездочки покраснение ладоней пальцы в виде барабанных палочек боли в области пупка увеличение груди нарушения эрекции отечность околоушных слюнных желез синяки центральное ожирение низ живота округлость и увеличение ногтей ограничение подвижности ладони расширение вен брюшной стенки,алкогольная болезнь печени
зуд жжение волдыри белорозового или красного цвета отечность покраснение волдыри ь,аллергический контактный дерматит
снижение остроты зрения наклон или поворот головы при взгляде на предмет,амблиопия
слабость рвота боль внизу живота тошнота повышение температуры до 38с снижение массы тела диарея урчание в животе метеоризм ложные позывы к дефекации увеличение печени стул в виде малинового желе,амебиаз
прекращение менструаций не связанное с беременностью нерегулярный менструальный цикл,аменорея
потеря счета времени потеря памяти,амнезия
потеря памяти,амнестический синдром
удушье бледность кожи судороги а потеря сознания обморок снижение артериального давления синюшность цианоз непроизвольное мочеиспускание,анафилактический шок
повышение артериального давления боль в области сердца повышенная усталость мышечная слабость утрудненное мочеиспускание боли в мочевом пузыре,андропауза
головная боль боль в области сердца,аневризма
уменьшенный размер зубов увеличенный размер зубов аномалии формы зубов,аномалии размеров и формы зубов
фригидность,аноргазмия
слабость прекращение менструаций не связанное с беременностью повышенная усталость снижение массы тела раздражительность снижение аппетита снижение полового влечения либидо потеря аппетита анорексия отказ от пищи рост пушистых волос на теле,анорексия
боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области,аноректальный свищ
потеря сознания обморок синюшность цианоз боль в области сердца головокружение боли в грудной клетке одышка ощущение сердцебиения пульсация сонных артерий пульсация зрачков,аортальная недостаточность
потеря сознания обморок слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения,аортальный стеноз
потеря сознания обморок слабость головокружение одышка,апластическая анемия
остановка дыхательных движений,апноэ
рвота повышение температуры до 3839с боль внизу живота тошнота боль вверху живота сухость во рту учащение сердцебиения тахикардия потеря аппетита анорексия боли в области пупка,аппендицит
потеря сознания обморок головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения замедленное сердцебиение брадикардия,аритмия сердца
головная боль повышение артериального давления головокружение,артериальная гипертензия
боль в суставах покраснение сустава деформация сустава отек сустава,артрит
онемение боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах боли в бедре боли в колене боли в кистях рук отек сустава боли в пальцах рук,артроз остеоартроз
боль внизу живота тошнота повышение температуры до 38с снижение массы тела слюнотечение снижение аппетита сухой кашель зуд в области ануса,аскаридоз
головная боль снижение остроты зрения нечеткость зрения боль в глазах искажение зрения усталость глаз,астигматизм
бледность кожи бессонница повышение артериального давления нарушение памяти снижение остроты зрения головокружение повышенная усталость боли в пояснице боль за грудиной онемение боли в грудной клетке шум в ушах рассеяность внимания перемежающаяся хромота боль при ходьбе,атеросклероз
зуд сыпь сыпь красного цвета сухость расчесы покраснение утолщение кожи,атопический дерматит
социальная изоляция эмоциональная отрешенность бесцельные движения ритуальное поведение аутоагрессия потребность в однообразии неулыбчивость погружение в себя скудность мимики и жестикуляции,аутизм
тошнота снижение массы тела слюнотечение отрыжка изжога боль за грудиной боли в грудной клетке нарушение глотания срыгивание,ахалазия пищевода
