disease,symptoms
абстинентное состояние,бессонница головная боль рвота вспыльчивость повышенное потоотделение раздражительность агрессия тремор дрожание ломота в теле одышка учащенное дыхание
абсцесс,повышение температуры до 3839с повышение температуры выше 39с гнойник и
аденоиды,насморк заложенность носа головная боль храп дыхание через рот гнусавость
аденома простаты предстательной железы,частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании мочеиспускание каплями чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания мутность мочи моча с кровью утрудненное мочеиспускание
адентия,полное или частичное отсутствие зубного ряда
акромегалия,головная боль повышение артериального давления повышенное потоотделение боль в суставах деформация сустава повышение уровня глюкозы в крови гипергликемия огрубление черт лица увеличение кистей рук увеличение стоп
алкогольная болезнь печени,снижение артериального давления слабость рвота тошнота повышенная усталость снижение массы тела желтушность желтушность склер мышечная слабость снижение полового влечения либидо сосудистые звездочки покраснение ладоней пальцы в виде барабанных палочек боли в области пупка увеличение груди нарушения эрекции отечность околоушных слюнных желез синяки центральное ожирение низ живота округлость и увеличение ногтей ограничение подвижности ладони расширение вен брюшной стенки
аллергический контактный дерматит,зуд жжение волдыри белорозового или красного цвета отечность покраснение волдыри ь
амблиопия,снижение остроты зрения наклон или поворот головы при взгляде на предмет
амебиаз,слабость рвота боль внизу живота тошнота повышение температуры до 38с снижение массы тела диарея урчание в животе метеоризм ложные позывы к дефекации увеличение печени стул в виде малинового желе
аменорея,прекращение менструаций не связанное с беременностью нерегулярный менструальный цикл
амнезия,потеря счета времени потеря памяти
амнестический синдром,потеря памяти
анафилактический шок,удушье бледность кожи судороги а потеря сознания обморок снижение артериального давления синюшность цианоз непроизвольное мочеиспускание
андропауза,повышение артериального давления боль в области сердца повышенная усталость мышечная слабость утрудненное мочеиспускание боли в мочевом пузыре
аневризма,головная боль боль в области сердца
аномалии размеров и формы зубов,уменьшенный размер зубов увеличенный размер зубов аномалии формы зубов
аноргазмия,фригидность
анорексия,слабость прекращение менструаций не связанное с беременностью повышенная усталость снижение массы тела раздражительность снижение аппетита снижение полового влечения либидо потеря аппетита анорексия отказ от пищи рост пушистых волос на теле
аноректальный свищ,боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области
аортальная недостаточность,потеря сознания обморок синюшность цианоз боль в области сердца головокружение боли в грудной клетке одышка ощущение сердцебиения пульсация сонных артерий пульсация зрачков
аортальный стеноз,потеря сознания обморок слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения
апластическая анемия,потеря сознания обморок слабость головокружение одышка
апноэ,остановка дыхательных движений
аппендицит,рвота повышение температуры до 3839с боль внизу живота тошнота боль вверху живота сухость во рту учащение сердцебиения тахикардия потеря аппетита анорексия боли в области пупка
аритмия сердца,потеря сознания обморок головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения замедленное сердцебиение брадикардия
артериальная гипертензия,головная боль повышение артериального давления головокружение
артрит,боль в суставах покраснение сустава деформация сустава отек сустава
артроз остеоартроз,онемение боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах боли в бедре боли в колене боли в кистях рук отек сустава боли в пальцах рук
аскаридоз,боль внизу живота тошнота повышение температуры до 38с снижение массы тела слюнотечение снижение аппетита сухой кашель зуд в области ануса
